IACO,Reg,Desc,Plane Type,Blah,BlahBlah
AE00FD,65-10399,USAF,Northrop T-38C Talon,,
AE00FE,65-10432,USAF,Northrop T-38C Talon,,
AE00FF,65-10457,USAF,Northrop T-38C Talon,,
AE0101,67-14842,USAF,Northrop T-38C Talon,,
AE01E3,96-3011,USAF,Raytheon T-6A Texan II,,
AE01E4,96-3012,USAF,Raytheon T-6A Texan II,,
AE01E5,96-3013,USAF,Raytheon T-6A Texan II,,
AE01E6,97-3014,USAF,Raytheon T-6A Texan II,,
AE01E7,97-3015,USAF,Raytheon T-6A Texan II,,
AE01E8,97-3016,USAF,Raytheon T-6A Texan II,,
AE01E9,97-3017,USAF,Raytheon T-6A Texan II,,
AE01EA,97-3018,USAF,Raytheon T-6A Texan II,,
AE01EB,97-3019,USAF,Raytheon T-6A Texan II,,
AE01EC,97-3020,USAF,Raytheon T-6A Texan II,,
AE01ED,97-3021,USAF,Raytheon T-6A Texan II,,
AE01EE,97-3022,USAF,Raytheon T-6A Texan II,,
AE01EF,97-3023,USAF,Raytheon T-6A Texan II,,
AE01F0,97-3024,USAF,Raytheon T-6A Texan II,,
AE01F1,98-3025,USAF,Raytheon T-6A Texan II,,
AE01F2,98-3026,USAF,Raytheon T-6A Texan II,,
AE01F3,98-3027,USAF,Raytheon T-6A Texan II,,
AE01F4,98-3028,USAF,Raytheon T-6A Texan II,,
AE01F5,98-3029,USAF,Raytheon T-6A Texan II,,
AE01F6,98-3030,USAF,Raytheon T-6A Texan II,,
AE01F7,98-3031,USAF,Raytheon T-6A Texan II,,
AE01F8,98-3032,USAF,Raytheon T-6A Texan II,,
AE01F9,98-3033,USAF,Raytheon T-6A Texan II,,
AE01FA,98-3034,USAF,Raytheon T-6A Texan II,,
AE01FB,98-3035,USAF,Raytheon T-6A Texan II,,
AE01FC,98-3036,USAF,Raytheon T-6A Texan II,,
AE01FD,98-3037,USAF,Raytheon T-6A Texan II,,
AE01FE,98-3038,USAF,Raytheon T-6A Texan II,,
AE01FF,98-3539,USAF,Raytheon T-6A Texan II,,
AE0200,98-3540,USAF,Raytheon T-6A Texan II,,
AE0201,98-3541,USAF,Raytheon T-6A Texan II,,
AE0202,98-3542,USAF,Raytheon T-6A Texan II,,
AE0203,98-3543,USAF,Raytheon T-6A Texan II,,
AE0204,98-3544,USAF,Raytheon T-6A Texan II,,
AE0205,98-3545,USAF,Raytheon T-6A Texan II,,
AE0206,98-3546,USAF,Raytheon T-6A Texan II,,
AE02D5,89-1051,USAF,AC-130W Hercules,,
AE02D6,89-1052,USAF,AC-130U Hercules,,
AE02D8,89-1054,USAF,AC-130U Hercules,,
AE02FB,87-9288,USAF,AC-130W Hercules,,
AE040D,162782,United States Navy,Boeing E-6B Mercury,,
AE040E,162783,United States Navy,Boeing E-6B Mercury,,
AE040F,162784,United States Navy,Boeing E-6B Mercury,,
AE0410,163918,United States Navy,Boeing E-6B Mercury,,
AE0412,163920,United States Navy,Boeing E-6B Mercury,,
AE0413,164386,United States Navy,Boeing E-6B Mercury,,
AE0414,164387,United States Navy,Boeing E-6B Mercury,,
AE0415,164388,United States Navy,Boeing E-6B Mercury,,
AE0416,164404,United States Navy,Boeing E-6B Mercury,,
AE0419,164407,United States Navy,Boeing E-6B Mercury,,
AE041C,164410,United States Navy,Boeing E-6B Mercury,,
AE0433,02-5001,USAF,Boeing C-32B,,
AE0443,00-9001,USAF,Boeing C-32B,,
AE0446,99-6143,USAF,Boeing C-32B,,
AE0449,02-4452,USAF,Boeing C-32B,,
AE04D7,165829,United States Navy,Boeing C-40A Clipper,,
AE04D8,165830,United States Navy,Boeing C-40A Clipper,,
AE04D9,165831,United States Navy,Boeing C-40A Clipper,,
AE04DA,165832,United States Navy,Boeing C-40A Clipper,,
AE051A,68-0213,USAF,Lockheed C-5M Galaxy,,
AE051D,68-0216,USAF,Lockheed C-5M Galaxy,,
AE053A,69-0020,USAF,Lockheed C-5A Galaxy,,
AE053E,69-0024,USAF,Lockheed C-5M Galaxy,,
AE0546,70-0448,USAF,Lockheed C-5A Galaxy,,
AE054D,70-0456,USAF,Lockheed C-5A Galaxy,,
AE0559,83-1285,USAF,Lockheed C-5M Galaxy,,
AE055B,84-0060,USAF,Lockheed C-5M Galaxy,,
AE055C,84-0061,USAF,Lockheed C-5M Galaxy,,
AE055D,84-0062,USAF,Lockheed C-5M Galaxy,,
AE055E,85-0001,USAF,Lockheed C-5M Galaxy,,
AE055F,85-0002,USAF,Lockheed C-5M Galaxy,,
AE0560,85-0003,USAF,Lockheed C-5M Galaxy,,
AE0561,85-0004,USAF,Lockheed C-5M Galaxy,,
AE0562,85-0005,USAF,Lockheed C-5M Galaxy,,
AE0563,85-0006,USAF,Lockheed C-5M Galaxy,,
AE0564,85-0007,USAF,Lockheed C-5M Galaxy,,
AE0565,85-0008,USAF,Lockheed C-5M Galaxy,,
AE0566,85-0009,USAF,Lockheed C-5M Galaxy,,
AE0567,85-0010,USAF,Lockheed C-5M Galaxy,,
AE0568,86-0011,USAF,Lockheed C-5M Galaxy,,
AE0569,86-0012,USAF,Lockheed C-5M Galaxy,,
AE056A,86-0013,USAF,Lockheed C-5M Galaxy,,
AE056B,86-0014,USAF,Lockheed C-5B Galaxy,,
AE056C,86-0015,USAF,Lockheed C-5M Galaxy,,
AE056D,86-0016,USAF,Lockheed C-5M Galaxy,,
AE056E,86-0017,USAF,Lockheed C-5M Galaxy,,
AE056F,86-0018,USAF,Lockheed C-5M Galaxy,,
AE0570,86-0019,USAF,Lockheed C-5M Galaxy,,
AE0571,86-0020,USAF,Lockheed C-5M Galaxy,,
AE0572,86-0021,USAF,Lockheed C-5M Galaxy,,
AE0573,86-0022,USAF,Lockheed C-5M Galaxy,,
AE0574,86-0023,USAF,Lockheed C-5M Galaxy,,
AE0575,86-0024,USAF,Lockheed C-5M Galaxy,,
AE0576,86-0025,USAF,Lockheed C-5M Galaxy,,
AE0577,86-0026,USAF,Lockheed C-5M Galaxy,,
AE0578,87-0027,USAF,Lockheed C-5M Galaxy,,
AE0579,87-0028,USAF,Lockheed C-5M Galaxy,,
AE057A,87-0029,USAF,Lockheed C-5M Galaxy,,
AE057B,87-0030,USAF,Lockheed C-5M Galaxy,,
AE057C,87-0031,USAF,Lockheed C-5M Galaxy,,
AE057D,87-0032,USAF,Lockheed C-5M Galaxy,,
AE057E,87-0033,USAF,Lockheed C-5M Galaxy,,
AE057F,87-0034,USAF,Lockheed C-5M Galaxy,,
AE0580,87-0035,USAF,Lockheed C-5M Galaxy,,
AE0581,87-0036,USAF,Lockheed C-5M Galaxy,,
AE0582,87-0037,USAF,Lockheed C-5M Galaxy,,
AE0583,87-0038,USAF,Lockheed C-5M Galaxy,,
AE0584,87-0039,USAF,Lockheed C-5M Galaxy,,
AE0585,87-0040,USAF,Lockheed C-5M Galaxy,,
AE0586,87-0041,USAF,Lockheed C-5M Galaxy,,
AE0587,87-0042,USAF,Lockheed C-5M Galaxy,,
AE0588,87-0043,USAF,Lockheed C-5M Galaxy,,
AE0589,87-0044,USAF,Lockheed C-5M Galaxy,,
AE058A,87-0045,USAF,Lockheed C-5M Galaxy,,
AE05B6,88-1301,USAF,AC-130W Hercules,,
AE05B7,88-1302,USAF,AC-130W Hercules,,
AE05B9,88-1304,USAF,AC-130W Hercules,,
AE05BA,88-1305,USAF,AC-130W Hercules,,
AE05BB,88-1306,USAF,AC-130W Hercules,,
AE05BC,88-1307,USAF,AC-130W Hercules,,
AE05BD,88-1308,USAF,AC-130W Hercules,,
AE05BE,90-1058,USAF,AC-130W Hercules,,
AE05DC,87-9286,USAF,AC-130W Hercules,,
AE0865,159353,United States Marine Corps,Sikorsky VH-3D,,
AE0881,99-3548,USAF,Raytheon T-6A Texan II,,
AE0882,99-3549,USAF,Raytheon T-6A Texan II,,
AE0883,99-3550,USAF,Raytheon T-6A Texan II,,
AE0884,99-3551,USAF,Raytheon T-6A Texan II,,
AE0885,99-3552,USAF,Raytheon T-6A Texan II,,
AE0887,99-3554,USAF,Raytheon T-6A Texan II,,
AE0888,99-3555,USAF,Raytheon T-6A Texan II,,
AE0889,99-3556,USAF,Raytheon T-6A Texan II,,
AE088A,99-3557,USAF,Raytheon T-6A Texan II,,
AE088B,99-3558,USAF,Raytheon T-6A Texan II,,
AE088C,99-3559,USAF,Raytheon T-6A Texan II,,
AE088D,99-3560,USAF,Raytheon T-6A Texan II,,
AE088E,99-3561,USAF,Raytheon T-6A Texan II,,
AE088F,99-3562,USAF,Raytheon T-6A Texan II,,
AE0890,99-3563,USAF,Raytheon T-6A Texan II,,
AE0891,99-3564,USAF,Raytheon T-6A Texan II,,
AE0892,99-3565,USAF,Raytheon T-6A Texan II,,
AE0893,99-3566,USAF,Raytheon T-6A Texan II,,
AE0894,99-3567,USAF,Raytheon T-6A Texan II,,
AE0895,99-3568,USAF,Raytheon T-6A Texan II,,
AE0896,00-3569,USAF,Raytheon T-6A Texan II,,
AE0897,00-3570,USAF,Raytheon T-6A Texan II,,
AE0898,00-3571,USAF,Raytheon T-6A Texan II,,
AE0899,00-3572,USAF,Raytheon T-6A Texan II,,
AE089A,00-3573,USAF,Raytheon T-6A Texan II,,
AE089B,00-3574,USAF,Raytheon T-6A Texan II,,
AE089C,00-3575,USAF,Raytheon T-6A Texan II,,
AE089D,00-3576,USAF,Raytheon T-6A Texan II,,
AE089E,00-3577,USAF,Raytheon T-6A Texan II,,
AE089F,00-3578,USAF,Raytheon T-6A Texan II,,
AE08A1,00-3580,USAF,Raytheon T-6A Texan II,,
AE08A2,00-3581,USAF,Raytheon T-6A Texan II,,
AE08A3,00-3582,USAF,Raytheon T-6A Texan II,,
AE08A4,00-3583,USAF,Raytheon T-6A Texan II,,
AE08A5,00-3584,USAF,Raytheon T-6A Texan II,,
AE08A6,00-3585,USAF,Raytheon T-6A Texan II,,
AE08A7,00-3586,USAF,Raytheon T-6A Texan II,,
AE08A8,00-3587,USAF,Raytheon T-6A Texan II,,
AE08A9,00-3588,USAF,Raytheon T-6A Texan II,,
AE08AA,00-3589,USAF,Raytheon T-6A Texan II,,
AE08AB,00-3590,USAF,Raytheon T-6A Texan II,,
AE08AC,00-3591,USAF,Raytheon T-6A Texan II,,
AE08AD,00-3592,USAF,Raytheon T-6A Texan II,,
AE08AE,00-3593,USAF,Raytheon T-6A Texan II,,
AE08AF,00-3594,USAF,Raytheon T-6A Texan II,,
AE08B0,00-3595,USAF,Raytheon T-6A Texan II,,
AE08B1,00-3596,USAF,Raytheon T-6A Texan II,,
AE08B2,00-3597,USAF,Raytheon T-6A Texan II,,
AE08B4,167085,United States Navy,McDonnell Douglas T-45C Goshawk,,
AE08BD,165968,United States Navy,Raytheon Aircraft Company T-6B Texan II,,
AE0941,61-2667,USAF,Boeing WC-135W,C135,Mil
AE0945,01-0040,USAF,Boeing C-40B,,
AE0949,68-10329,USAF,Lockheed U-2S,,
AE094A,68-10331,USAF,Lockheed U-2S,,
AE094B,68-10336,USAF,Lockheed U-2S,,
AE094C,68-10337,USAF,Lockheed U-2S,,
AE094D,80-1064,USAF,Lockheed TU-2S,,
AE094E,80-1065,USAF,Lockheed TU-2S,,
AE094F,80-1066,USAF,Lockheed U-2S,,
AE0950,80-1067,USAF,Lockheed U-2S,,
AE0952,80-1069,USAF,Lockheed U-2S,,
AE0953,80-1070,USAF,Lockheed U-2S,,
AE0954,80-1071,USAF,Lockheed U-2S,,
AE0955,80-1073,USAF,Lockheed U-2S,,
AE0956,80-1074,USAF,Lockheed U-2S,,
AE0957,80-1076,USAF,Lockheed U-2S,,
AE0958,80-1077,USAF,Lockheed U-2S,,
AE0959,80-1078,USAF,Lockheed TU-2S,,
AE095A,80-1079,USAF,Lockheed U-2S,,
AE095B,80-1080,USAF,Lockheed U-2S,,
AE095C,80-1081,USAF,Lockheed U-2S,,
AE095E,80-1083,USAF,Lockheed U-2S,,
AE095F,80-1084,USAF,Lockheed U-2S,,
AE0960,80-1085,USAF,Lockheed U-2S,,
AE0961,80-1086,USAF,Lockheed U-2A,,
AE0962,80-1087,USAF,Lockheed U-2S,,
AE0963,80-1089,USAF,Lockheed U-2S,,
AE0964,80-1090,USAF,Lockheed U-2S,,
AE0965,80-1091,USAF,Lockheed TU-2S,,
AE0966,80-1092,USAF,Lockheed U-2S,,
AE0967,80-1093,USAF,Lockheed U-2S,,
AE0968,80-1094,USAF,Lockheed U-2S,,
AE0969,80-1096,USAF,Lockheed U-2S,,
AE096A,80-1099,USAF,Lockheed U-2R,,
AE0976,165833,United States Navy,Boeing C-40A Clipper,,
AE0977,165834,United States Navy,Boeing C-40A Clipper,,
AE10F3,01-3599,USAF,Raytheon T-6A Texan II,,
AE10F4,01-3600,USAF,Raytheon T-6A Texan II,,
AE10F5,01-3601,USAF,Raytheon T-6A Texan II,,
AE10F6,01-3602,USAF,Raytheon T-6A Texan II,,
AE10F7,01-3603,USAF,Raytheon T-6A Texan II,,
AE10F8,01-3604,USAF,Raytheon T-6A Texan II,,
AE10F9,01-3605,USAF,Raytheon T-6A Texan II,,
AE10FA,01-3606,USAF,Raytheon T-6A Texan II,,
AE10FB,01-3607,USAF,Raytheon T-6A Texan II,,
AE10FC,01-3608,USAF,Raytheon T-6A Texan II,,
AE10FD,01-3609,USAF,Raytheon T-6A Texan II,,
AE10FE,01-3610,USAF,Raytheon T-6A Texan II,,
AE10FF,01-3611,USAF,Raytheon T-6A Texan II,,
AE1100,01-3612,USAF,Raytheon T-6A Texan II,,
AE1102,01-3614,USAF,Raytheon T-6A Texan II,,
AE1103,01-3615,USAF,Raytheon T-6A Texan II,,
AE1104,01-3616,USAF,Raytheon T-6A Texan II,,
AE1105,01-3617,USAF,Raytheon T-6A Texan II,,
AE1106,01-3618,USAF,Raytheon T-6A Texan II,,
AE1107,01-3619,USAF,Raytheon T-6A Texan II,,
AE1108,01-3620,USAF,Raytheon T-6A Texan II,,
AE1109,01-3621,USAF,Raytheon T-6A Texan II,,
AE110A,01-3622,USAF,Raytheon T-6A Texan II,,
AE110B,01-3623,USAF,Raytheon T-6A Texan II,,
AE110C,01-3624,USAF,Raytheon T-6A Texan II,,
AE110D,01-3625,USAF,Raytheon T-6A Texan II,,
AE110E,01-3626,USAF,Raytheon T-6A Texan II,,
AE110F,01-3627,USAF,Raytheon T-6A Texan II,,
AE1110,01-3628,USAF,Raytheon T-6A Texan II,,
AE1111,01-3629,USAF,Raytheon T-6A Texan II,,
AE1112,01-3630,USAF,Raytheon T-6A Texan II,,
AE1113,01-3631,USAF,Raytheon T-6A Texan II,,
AE1114,01-3632,USAF,Raytheon T-6A Texan II,,
AE1115,02-3633,USAF,Raytheon T-6A Texan II,,
AE1116,02-3634,USAF,Raytheon T-6A Texan II,,
AE1117,02-3635,USAF,Raytheon T-6A Texan II,,
AE1118,02-3636,USAF,Raytheon T-6A Texan II,,
AE1119,02-3637,USAF,Raytheon T-6A Texan II,,
AE111A,02-3638,USAF,Raytheon T-6A Texan II,,
AE111B,02-3639,USAF,Raytheon T-6A Texan II,,
AE111C,02-3640,USAF,Raytheon T-6A Texan II,,
AE111D,02-3641,USAF,Raytheon T-6A Texan II,,
AE111E,02-3642,USAF,Raytheon T-6A Texan II,,
AE111F,02-3643,USAF,Raytheon T-6A Texan II,,
AE1121,02-3645,USAF,Raytheon T-6A Texan II,,
AE1122,02-3646,USAF,Raytheon T-6A Texan II,,
AE1123,02-3647,USAF,Raytheon T-6A Texan II,,
AE1124,02-3648,USAF,Raytheon T-6A Texan II,,
AE1125,02-3649,USAF,Raytheon T-6A Texan II,,
AE1126,02-3650,USAF,Raytheon T-6A Texan II,,
AE1127,02-3651,USAF,Raytheon T-6A Texan II,,
AE1128,02-3652,USAF,Raytheon T-6A Texan II,,
AE1129,02-3653,USAF,Raytheon T-6A Texan II,,
AE112A,02-3654,USAF,Raytheon T-6A Texan II,,
AE112B,02-3655,USAF,Raytheon T-6A Texan II,,
AE112C,02-3656,USAF,Raytheon T-6A Texan II,,
AE112D,02-3657,USAF,Raytheon T-6A Texan II,,
AE112E,02-3658,USAF,Raytheon T-6A Texan II,,
AE112F,02-3659,USAF,Raytheon T-6A Texan II,,
AE1130,02-3660,USAF,Raytheon T-6A Texan II,,
AE1133,02-3663,USAF,Raytheon T-6A Texan II,,
AE1134,02-3664,USAF,Raytheon T-6A Texan II,,
AE1136,02-3666,USAF,Raytheon T-6A Texan II,,
AE1137,02-3667,USAF,Raytheon T-6A Texan II,,
AE1138,02-3668,USAF,Raytheon T-6A Texan II,,
AE1139,02-3669,USAF,Raytheon T-6A Texan II,,
AE113A,02-3670,USAF,Raytheon T-6A Texan II,,
AE113B,02-3671,USAF,Raytheon T-6A Texan II,,
AE1141,165975,United States Navy,Raytheon Aircraft Company T-6B Texan II,,
AE1146,165980,United States Navy,Raytheon T-6A Texan II,,
AE1151,165991,United States Navy,Raytheon T-6A Texan II,,
AE115D,01-0015,USAF,Boeing C-40B,,
AE1165,02-0201,USAF,Boeing C-40C,,
AE1167,02-0202,USAF,Boeing C-40C,,
AE11AA,02-3672,USAF,Raytheon T-6A Texan II,,
AE11AB,03-3673,USAF,Raytheon T-6A Texan II,,
AE11AC,03-3674,USAF,Raytheon T-6A Texan II,,
AE11AD,03-3675,USAF,Raytheon T-6A Texan II,,
AE11AE,03-3676,USAF,Raytheon T-6A Texan II,,
AE11AF,03-3677,USAF,Raytheon T-6A Texan II,,
AE11B0,03-3678,USAF,Raytheon T-6A Texan II,,
AE11B1,03-3679,USAF,Raytheon T-6A Texan II,,
AE11B2,03-3680,USAF,Raytheon T-6A Texan II,,
AE11B3,03-3681,USAF,Raytheon T-6A Texan II,,
AE11B4,03-3682,USAF,Raytheon T-6A Texan II,,
AE11B5,03-3683,USAF,Raytheon T-6A Texan II,,
AE11B6,03-3684,USAF,Raytheon T-6A Texan II,,
AE11B7,03-3685,USAF,Raytheon T-6A Texan II,,
AE11B8,03-3686,USAF,Raytheon T-6A Texan II,,
AE11B9,03-3687,USAF,Raytheon T-6A Texan II,,
AE11BA,03-3688,USAF,Raytheon T-6A Texan II,,
AE11BB,03-3689,USAF,Raytheon T-6A Texan II,,
AE11BC,03-3690,USAF,Raytheon T-6A Texan II,,
AE11BD,03-3691,USAF,Raytheon T-6A Texan II,,
AE11BE,03-3692,USAF,Raytheon T-6A Texan II,,
AE11BF,03-3693,USAF,Raytheon T-6A Texan II,,
AE11C0,03-3694,USAF,Raytheon T-6A Texan II,,
AE11C1,03-3695,USAF,Raytheon T-6A Texan II,,
AE11C2,03-3696,USAF,Raytheon T-6A Texan II,,
AE11C3,03-3697,USAF,Raytheon T-6A Texan II,,
AE11C4,03-3698,USAF,Raytheon T-6A Texan II,,
AE11C5,03-3699,USAF,Raytheon T-6A Texan II,,
AE11C6,03-3700,USAF,Raytheon T-6A Texan II,,
AE11C7,03-3701,USAF,Raytheon T-6A Texan II,,
AE11C8,03-3702,USAF,Raytheon T-6A Texan II,,
AE11C9,03-3703,USAF,Raytheon T-6A Texan II,,
AE11CA,03-3704,USAF,Raytheon T-6A Texan II,,
AE11CB,03-3705,USAF,Raytheon T-6A Texan II,,
AE11CC,03-3706,USAF,Raytheon T-6A Texan II,,
AE11CD,03-3707,USAF,Raytheon T-6A Texan II,,
AE11CE,03-3706,USAF,Raytheon T-6A Texan II,,
AE11F6,01-1941,USAF,Boeing C-40B,,
AE11F7,01-0041,USAF,Boeing C-40B,,
AE11F8,02-0042,USAF,Boeing C-40B,,
AE11FA,02-0203,USAF,Boeing C-40C,,
AE1251,165835,United States Navy,Boeing C-40A Clipper,,
AE1252,165836,United States Navy,Boeing C-40A Clipper,,
AE129E,87-0128,USAF,AC-130U Hercules,,
AE12A5,89-0510,USAF,AC-130U Hercules,,
AE12A6,90-0164,USAF,AC-130U Hercules,,
AE12A9,90-0165,USAF,AC-130U Hercules,,
AE139A,04-3708,USAF,Raytheon T-6A Texan II,,
AE139B,04-3709,USAF,Raytheon T-6A Texan II,,
AE139C,04-3710,USAF,Raytheon T-6A Texan II,,
AE139D,04-3711,USAF,Raytheon T-6A Texan II,,
AE139E,04-3712,USAF,Raytheon T-6A Texan II,,
AE139F,04-3713,USAF,Raytheon T-6A Texan II,,
AE13A0,04-3714,USAF,Raytheon T-6A Texan II,,
AE13A1,04-3715,USAF,Raytheon T-6A Texan II,,
AE13A2,04-3716,USAF,Raytheon T-6A Texan II,,
AE13A3,04-3717,USAF,Raytheon T-6A Texan II,,
AE13A4,04-3718,USAF,Raytheon T-6A Texan II,,
AE13A5,04-3719,USAF,Raytheon T-6A Texan II,,
AE13A6,04-3720,USAF,Raytheon T-6A Texan II,,
AE13A7,04-3721,USAF,Raytheon T-6A Texan II,,
AE13A8,04-3722,USAF,Raytheon T-6A Texan II,,
AE13A9,04-3723,USAF,Raytheon T-6A Texan II,,
AE13AA,04-3724,USAF,Raytheon T-6A Texan II,,
AE13AB,04-3725,USAF,Raytheon T-6A Texan II,,
AE13AC,04-3726,USAF,Raytheon T-6A Texan II,,
AE13AD,04-3727,USAF,Raytheon T-6A Texan II,,
AE13AE,04-3728,USAF,Raytheon T-6A Texan II,,
AE13AF,04-3729,USAF,Raytheon T-6A Texan II,,
AE13B0,04-3730,USAF,Raytheon T-6A Texan II,,
AE13B1,04-3731,USAF,Raytheon T-6A Texan II,,
AE13B2,04-3732,USAF,Raytheon T-6A Texan II,,
AE13B3,04-3733,USAF,Raytheon T-6A Texan II,,
AE13B4,04-3734,USAF,Raytheon T-6A Texan II,,
AE13B5,04-3735,USAF,Raytheon T-6A Texan II,,
AE13B6,04-3736,USAF,Raytheon T-6A Texan II,,
AE13B7,04-3737,USAF,Raytheon T-6A Texan II,,
AE13B8,04-3738,USAF,Raytheon T-6A Texan II,,
AE13B9,04-3739,USAF,Raytheon T-6A Texan II,,
AE13BA,04-3740,USAF,Raytheon T-6A Texan II,,
AE13BB,04-3741,USAF,Raytheon T-6A Texan II,,
AE13BC,04-3742,USAF,Raytheon T-6A Texan II,,
AE13BD,04-3743,USAF,Raytheon T-6A Texan II,,
AE13BE,04-3744,USAF,Raytheon T-6A Texan II,,
AE13BF,04-3745,USAF,Raytheon T-6A Texan II,,
AE13C0,04-3746,USAF,Raytheon T-6A Texan II,,
AE13C1,04-3747,USAF,Raytheon T-6A Texan II,,
AE13C2,04-3748,USAF,Raytheon T-6A Texan II,,
AE13C3,04-3749,USAF,Raytheon T-6A Texan II,,
AE13C4,04-3750,USAF,Raytheon T-6A Texan II,,
AE13C5,04-3751,USAF,Raytheon T-6A Texan II,,
AE13C6,04-3752,USAF,Raytheon T-6A Texan II,,
AE13C7,04-3753,USAF,Raytheon T-6A Texan II,,
AE13C8,04-3754,USAF,Raytheon T-6A Texan II,,
AE13C9,04-3755,USAF,Raytheon T-6A Texan II,,
AE13CA,04-3756,USAF,Raytheon T-6A Texan II,,
AE13CB,04-3757,USAF,Raytheon T-6A Texan II,,
AE13CC,04-3758,USAF,Raytheon T-6A Texan II,,
AE13CD,04-3759,USAF,Raytheon T-6A Texan II,,
AE13CE,04-6205,USAF,Raytheon T-6A Texan II,,
AE13CF,04-6206,USAF,Raytheon T-6A Texan II,,
AE13E5,62-3582,USAF,Boeing WC-135C,C135,Mil
AE13EF,05-3760,USAF,Raytheon T-6A Texan II,,
AE13F0,05-3761,USAF,Raytheon T-6A Texan II,,
AE13F1,05-3762,USAF,Raytheon T-6A Texan II,,
AE13F2,05-3763,USAF,Raytheon T-6A Texan II,,
AE13F3,05-3764,USAF,Raytheon T-6A Texan II,,
AE13F4,05-3765,USAF,Raytheon T-6A Texan II,,
AE13F5,05-3766,USAF,Raytheon T-6A Texan II,,
AE13F6,05-3767,USAF,Raytheon T-6A Texan II,,
AE13F7,05-3768,USAF,Raytheon T-6A Texan II,,
AE13F8,05-3769,USAF,Raytheon T-6A Texan II,,
AE13F9,05-3770,USAF,Raytheon T-6A Texan II,,
AE13FA,05-3771,USAF,Raytheon T-6A Texan II,,
AE13FB,05-3772,USAF,Raytheon T-6A Texan II,,
AE13FC,05-3773,USAF,Raytheon T-6A Texan II,,
AE13FD,05-3774,USAF,Raytheon T-6A Texan II,,
AE13FE,05-3775,USAF,Raytheon T-6A Texan II,,
AE13FF,05-3776,USAF,Raytheon T-6A Texan II,,
AE1400,05-3777,USAF,Raytheon T-6A Texan II,,
AE1401,05-3778,USAF,Raytheon T-6A Texan II,,
AE1402,05-3779,USAF,Raytheon T-6A Texan II,,
AE1403,05-3780,USAF,Raytheon T-6A Texan II,,
AE1404,05-3781,USAF,Raytheon T-6A Texan II,,
AE1405,05-3782,USAF,Raytheon T-6A Texan II,,
AE1406,05-3783,USAF,Raytheon T-6A Texan II,,
AE1407,05-3784,USAF,Raytheon T-6A Texan II,,
AE1408,05-3785,USAF,Raytheon T-6A Texan II,,
AE1409,05-3786,USAF,Raytheon T-6A Texan II,,
AE140A,05-3787,USAF,Raytheon T-6A Texan II,,
AE140B,05-3788,USAF,Raytheon T-6A Texan II,,
AE140C,05-3789,USAF,Raytheon T-6A Texan II,,
AE140D,05-3790,USAF,Raytheon T-6A Texan II,,
AE140E,05-3791,USAF,Raytheon T-6A Texan II,,
AE140F,05-3792,USAF,Raytheon T-6A Texan II,,
AE1410,05-3793,USAF,Raytheon T-6A Texan II,,
AE1411,05-3794,USAF,Raytheon T-6A Texan II,,
AE1412,05-3795,USAF,Raytheon T-6A Texan II,,
AE1413,05-3796,USAF,Raytheon T-6A Texan II,,
AE1414,05-3797,USAF,Raytheon T-6A Texan II,,
AE1415,05-3798,USAF,Raytheon T-6A Texan II,,
AE1416,05-3799,USAF,Raytheon T-6A Texan II,,
AE1417,05-3800,USAF,Raytheon T-6A Texan II,,
AE1418,05-3801,USAF,Raytheon T-6A Texan II,,
AE1419,05-3802,USAF,Raytheon T-6A Texan II,,
AE141A,05-3803,USAF,Raytheon T-6A Texan II,,
AE141B,05-3804,USAF,Raytheon T-6A Texan II,,
AE141C,05-3805,USAF,Raytheon T-6A Texan II,,
AE141D,05-3806,USAF,Raytheon T-6A Texan II,,
AE141E,05-3807,USAF,Raytheon T-6A Texan II,,
AE141F,05-3808,USAF,Raytheon T-6A Texan II,,
AE1420,05-3809,USAF,Raytheon T-6A Texan II,,
AE1421,05-3810,USAF,Raytheon T-6A Texan II,,
AE1422,05-3811,USAF,Raytheon T-6A Texan II,,
AE1423,05-3812,USAF,Raytheon T-6A Texan II,,
AE1425,05-6208,USAF,Raytheon T-6A Texan II,,
AE1426,05-6209,USAF,Raytheon T-6A Texan II,,
AE147A,166693,United States Navy,Boeing C-40A Clipper,,
AE1488,86-0416,USAF,TE-8A J-STARS,,
AE161C,91-0360,USAF,F-16 Fighting Falcon,,
AE161D,91-0361,USAF,F-16 Fighting Falcon,,
AE16E3,90-0813,USAF,F-16 Fighting Falcon,,
AE16E4,90-0818,USAF,F-16 Fighting Falcon,,
AE16E6,90-0828,USAF,F-16 Fighting Falcon,,
AE16E7,90-0829,USAF,F-16 Fighting Falcon,,
AE16E9,90-0831,USAF,F-16 Fighting Falcon,,
AE16EF,91-0338,USAF,F-16 Fighting Falcon,,
AE16F1,91-0342,USAF,F-16 Fighting Falcon,,
AE16F2,91-0405,USAF,F-16 Fighting Falcon,,
AE16F3,91-0344,USAF,F-16 Fighting Falcon,,
AE16F5,91-0403,USAF,F-16 Fighting Falcon,,
AE16FD,91-0407,USAF,F-16 Fighting Falcon,,
AE1702,91-0416,USAF,F-16 Fighting Falcon,,
AE1704,91-0418,USAF,F-16 Fighting Falcon,,
AE1708,91-0472,USAF,F-16 Fighting Falcon,,
AE170C,92-3918,USAF,F-16 Fighting Falcon,,
AE170D,96-0080,USAF,F-16 Fighting Falcon,,
AE1710,96-0083,USAF,F-16 Fighting Falcon,,
